Designator,Mid X,Mid Y,Rotation,Layer
C1,5.250664,6.35,90.0,top
C10,33.850307,6.35,90.0,top
C11,33.850307,9.31,90.0,top
C12,32.050307,10.79,0.0,top
C13,32.690307,13.75,0.0,top
C14,34.450735,16.71,0.0,top
C15,36.200307,13.75,0.0,top
C16,37.050807,10.79,0.0,top
C17,35.050307,9.31,90.0,top
C18,35.050307,6.35,90.0,top
C2,5.250664,9.31,90.0,top
C3,3.450664,10.79,0.0,top
C4,4.090664,13.75,0.0,top
C5,5.845735,16.71,0.0,top
C6,7.600664,13.75,0.0,top
C7,8.450664,10.79,0.0,top
C8,6.450664,9.31,90.0,top
C9,6.450664,6.35,90.0,top
LED1,2.550664,6.35,0.0,top
LED10,31.150807,6.35,0.0,top
LED11,31.550307,9.31,0.0,top
LED12,32.050307,12.27,0.0,top
LED13,32.890307,15.23,0.0,top
LED14,34.450735,18.19,0.0,top
LED15,36.000307,15.23,0.0,top
LED16,36.850307,12.27,0.0,top
LED17,37.350307,9.31,0.0,top
LED18,37.750807,6.35,0.0,top
LED2,2.950664,9.31,0.0,top
LED3,3.450664,12.27,0.0,top
LED4,4.290664,15.23,0.0,top
LED5,5.845735,18.19,0.0,top
LED6,7.400664,15.23,0.0,top
LED7,8.250664,12.27,0.0,top
LED8,8.750664,9.31,0.0,top
LED9,9.150735,6.35,0.0,top
